left_knee_angle,right_knee_angle,label,source
69.6,69.2,squat_down,../raw_videos/squat.mp4
65.6,67.5,squat_down,../raw_videos/squat.mp4
61.8,65.2,squat_down,../raw_videos/squat.mp4
59.6,62.8,squat_down,../raw_videos/squat.mp4
55.4,60.6,squat_down,../raw_videos/squat.mp4
53.5,58.8,squat_down,../raw_videos/squat.mp4
50.9,57.0,squat_down,../raw_videos/squat.mp4
72.3,69.1,squat_down,../raw_videos/squat.mp4
69.3,67.1,squat_down,../raw_videos/squat.mp4
66.5,64.7,squat_down,../raw_videos/squat.mp4
62.8,62.0,squat_down,../raw_videos/squat.mp4
59.4,60.2,squat_down,../raw_videos/squat.mp4
57.2,58.1,squat_down,../raw_videos/squat.mp4
52.4,55.8,squat_down,../raw_videos/squat.mp4
48.8,53.5,squat_down,../raw_videos/squat.mp4
47.7,52.0,squat_down,../raw_videos/squat.mp4
75.2,73.7,squat_down,../raw_videos/squat.mp4
72.3,70.6,squat_down,../raw_videos/squat.mp4
68.5,67.7,squat_down,../raw_videos/squat.mp4
64.8,64.9,squat_down,../raw_videos/squat.mp4
60.5,61.9,squat_down,../raw_videos/squat.mp4
57.5,59.2,squat_down,../raw_videos/squat.mp4
52.7,56.7,squat_down,../raw_videos/squat.mp4
48.0,53.6,squat_down,../raw_videos/squat.mp4
46.3,51.8,squat_down,../raw_videos/squat.mp4
44.3,49.7,squat_down,../raw_videos/squat.mp4
83.8,82.3,squat_down,../raw_videos/squat.mp4
81.2,79.0,squat_down,../raw_videos/squat.mp4
79.0,76.8,squat_down,../raw_videos/squat.mp4
76.1,73.9,squat_down,../raw_videos/squat.mp4
73.7,72.5,squat_down,../raw_videos/squat.mp4
71.5,71.5,squat_down,../raw_videos/squat.mp4
69.6,69.6,squat_down,../raw_videos/squat.mp4
66.8,67.8,squat_down,../raw_videos/squat.mp4
64.8,66.7,squat_down,../raw_videos/squat.mp4
63.4,65.8,squat_down,../raw_videos/squat.mp4
62.0,64.5,squat_down,../raw_videos/squat.mp4
60.6,63.3,squat_down,../raw_videos/squat.mp4
59.0,62.1,squat_down,../raw_videos/squat.mp4
56.7,60.6,squat_down,../raw_videos/squat.mp4
54.9,59.4,squat_down,../raw_videos/squat.mp4
53.5,58.2,squat_down,../raw_videos/squat.mp4
51.5,56.6,squat_down,../raw_videos/squat.mp4
48.9,54.2,squat_down,../raw_videos/squat.mp4
46.3,52.7,squat_down,../raw_videos/squat.mp4
43.9,51.7,squat_down,../raw_videos/squat.mp4
86.7,85.0,squat_down,../raw_videos/squat.mp4
83.8,81.9,squat_down,../raw_videos/squat.mp4
82.5,79.6,squat_down,../raw_videos/squat.mp4
79.0,77.0,squat_down,../raw_videos/squat.mp4
76.5,75.3,squat_down,../raw_videos/squat.mp4
73.5,74.2,squat_down,../raw_videos/squat.mp4
71.6,73.1,squat_down,../raw_videos/squat.mp4
70.1,71.4,squat_down,../raw_videos/squat.mp4
67.8,69.8,squat_down,../raw_videos/squat.mp4
64.9,68.1,squat_down,../raw_videos/squat.mp4
62.8,67.1,squat_down,../raw_videos/squat.mp4
